date,Symbol,Open,High,Low,close,volume_usdt,tradecount,IV,Fear_index,Fear_classification,ma200_raw,dist_ma200,zraw_close_60,ma30_raw,ma90_raw,vol_30mean,hv20_raw,RSI14_raw,Fear_idx
2022/1/19,BTCUSDT,42352.12,42559.13,41138.56,41660.01,1327478459.1602297,924528,65.96,24,Extreme Fear,48634.8304,-6974.8204,-1.388001641,45457.835666666666,53153.31466666667,1474358773.3126953,0.3322367129325585,38.65963454939152,0.24
2022/1/20,BTCUSDT,41660,43505,40553.31,40680.91,1784801200.4044871,1098761,65.24,24,Extreme Fear,48661.8024,-7980.8924,-1.542111495,45184.20333333333,52931.01122222223,1472944341.6908488,0.3348649716919496,35.886371597366036,0.24
2022/1/21,BTCUSDT,40680.92,41100,35440.45,36445.31,3405501703.2219367,2092561,77.8,19,Extreme Fear,48675.57825,-12230.26825,-2.265172899,44779.441666666666,52654.99522222223,1542380445.2871225,0.45514650990271666,27.19292073233187,0.19
2022/1/22,BTCUSDT,36445.31,36835.22,34008,35071.42,3207531048.030652,2099978,81,13,Extreme Fear,48679.83529999999,-13608.4153,-2.405480974,44253.862,52368.54188888888,1591360485.8620956,0.4631686961063944,23.54085353841917,0.13
2022/1/23,BTCUSDT,35071.42,36499,34601.01,36244.55,1572414639.0428774,1142407,77.29,11,Extreme Fear,48691.74745,-12447.19745,-2.093368146,43768.013666666666,52070.38377777778,1589876996.9734027,0.4929646695914893,29.147901867241316,0.11
2022/1/24,BTCUSDT,36244.55,37550,32917.17,36660.35,3192041586.10319,1999352,78.59,13,Extreme Fear,48710.67064999999,-12050.32065,-1.961995073,43310.03666666667,51807.40088888889,1663895348.8724818,0.499797301299151,31.363711849354132,0.13
2022/1/25,BTCUSDT,36660.35,37545.14,35701,36958.32,1799224214.4997392,1248246,81.26,12,Extreme Fear,48726.383200000004,-11768.0632,-1.824349972,42849.46433333334,51569.01066666667,1686129481.3037257,0.47895814785958296,28.20773861536287,0.12
2022/1/26,BTCUSDT,36958.32,38919.98,36234.63,36809.34,2627491976.6908574,1584468,80.39,23,Extreme Fear,48742.91555,-11933.57555,-1.781490398,42386.39433333333,51304.93788888889,1724665093.4570253,0.4791109362377739,20.96823307532118,0.23
2022/1/27,BTCUSDT,36807.24,37234.47,35507.01,37160.1,1925920128.3436608,1308408,80.14,20,Extreme Fear,48757.42109999999,-11597.3211,-1.67354192,42040.273,51026.119999999995,1714125690.3707807,0.47092186896387167,25.94583903876186,0.2
2022/1/28,BTCUSDT,37160.11,38000,36155.01,37716.56,1560203931.220128,1061101,74.77,24,Extreme Fear,48780.57075,-11064.01075,-1.540702188,41748.66966666667,50757.86855555556,1703672969.035675,0.4756229699396421,26.317445684451243,0.24
2022/1/29,BTCUSDT,37716.57,38720.74,37268.44,38166.84,989652386.9966494,816601,75.18,24,Extreme Fear,48807.756100000006,-10640.9161,-1.427670357,41450.202000000005,50500.835666666666,1689036191.2537901,0.4782389255372977,28.998270302590242,0.24
2022/1/30,BTCUSDT,38166.83,38359.26,37351.63,37881.76,812750216.6010319,698593,74.32,29,Fear,48833.06479999999,-10951.3048,-1.463259556,41172.363,50244.954000000005,1661103999.209874,0.4782233857480052,28.338773091145825,0.29
2022/1/31,BTCUSDT,37881.75,38744,36632.61,38466.9,1386754529.0295446,936014,70.99,20,Extreme Fear,48865.999299999996,-10399.0993,-1.326477442,40863.838,49969.91966666666,1676523978.191409,0.4741930983381214,34.032561480316005,0.2
2022/2/1,BTCUSDT,38466.9,39265.2,38000,38694.59,1334266166.7099986,917617,71.81,26,Fear,48902.5529,-10207.9629,-1.247279663,40577.45166666667,49701.009777777785,1692112483.8962972,0.46073090304673864,34.465115923475906,0.26
2022/2/2,BTCUSDT,38694.59,38855.92,36586.95,36896.36,1353093948.9776013,907905,75,28,Fear,48929.434349999996,-12033.07435,-1.565967686,40259.127,49428.80255555555,1694142165.2513618,0.475257874452902,31.504855914415955,0.28
2022/2/3,BTCUSDT,36896.37,37387,36250,37311.61,1179502838.6566265,848961,74.14,20,Extreme Fear,48957.0996,-11645.4896,-1.424887309,39975.113666666664,49166.296888888886,1678486579.0689957,0.47500915289601103,36.31951899667534,0.2
2022/2/4,BTCUSDT,37311.98,41772.33,37026.73,41574.25,2526572562.0582848,1380724,70.14,20,Extreme Fear,49010.772600000004,-7436.5226,-0.511611539,39912.551,48945.22622222223,1684896046.3160903,0.6405880454240287,70.77957751614493,0.2
2022/2/5,BTCUSDT,41571.7,41913.69,40843.01,41382.59,1349805515.9300363,1006352,67.37,33,Fear,49068.7338,-7686.1438,-0.527328128,39855.89366666667,48701.99288888889,1674074025.0324805,0.6407072304465623,78.27820777179451,0.33
2022/2/6,BTCUSDT,41382.6,42656,41116.56,42380.87,934168802.8801152,788291,70.69,37,Fear,49119.91559999999,-6739.0456,-0.289316103,39883.04000000001,48422.60444444445,1628751284.6129763,0.6426124326831225,77.93243398256763,0.37
